## MOW 0.1.3	mya	CC BY 4.0
01828405-v	mya:lemma	တ
01828405-v	mya:lemma	တမ်း
01828405-v	mya:lemma	မျှော်
01828405-v	mya:lemma	လွမ်း
01828405-v	mya:lemma	သတိရ
01828405-v	mya:lemma	လင့်စား
01842204-v	mya:lemma	ထွက်
01845720-v	mya:lemma	ခရီးသွား
01849221-v	mya:lemma	လာ
01858441-n	mya:lemma	ငန်း
01877620-v	mya:lemma	ဒန်းစီး
01884577-v	mya:lemma	စောင်း
01884577-v	mya:lemma	တိမ်းစောင်း
01884577-v	mya:lemma	တိမ်းယိမ်း
01884577-v	mya:lemma	တိမ်း
01884974-v	mya:lemma	တိမ်း
01894649-v	mya:lemma	က
01895735-n	mya:lemma	အရေ
01904930-v	mya:lemma	လမ်းလျှောက်
01907481-a	mya:lemma	အစစ်အမှန်
01926311-v	mya:lemma	ပြေး
01932973-a	mya:lemma	အစစ်အမှန်
01940403-v	mya:lemma	ပျံ
01944390-n	mya:lemma	ခရုပက်ကျိ
01973311-a	mya:lemma	စပ်
01984902-v	mya:lemma	ထိုင်
01990694-v	mya:lemma	ပေါ်
02000968-a	mya:lemma	များ
02005948-v	mya:lemma	ဆိုက်
02005948-v	mya:lemma	ရောက်
02008396-v	mya:lemma	သွား
02014165-v	mya:lemma	ထွက်သွား
02014165-v	mya:lemma	သွား
02014165-v	mya:lemma	ထွက်
02023600-v	mya:lemma	စုရုံး
02037090-v	mya:lemma	စောင်း
02040652-a	mya:lemma	လုံး
02041229-a	mya:lemma	လုံး
02045043-v	mya:lemma	ပတ်
02047496-a	mya:lemma	လုံး
02051013-a	mya:lemma	တော
02051616-a	mya:lemma	တော
02062670-a	mya:lemma	တူ
02071974-v	mya:lemma	စိမ့်
02074377-v	mya:lemma	တိမ်းရှောင်
02074377-v	mya:lemma	ရှောင်
02074377-v	mya:lemma	ရှောင်တိမ်း
02074377-v	mya:lemma	တိမ်း
02077656-v	mya:lemma	ယူလာ
02084071-n	mya:lemma	ခွေး
02121511-v	mya:lemma	တက်
02121620-n	mya:lemma	ကြောင်
02124623-n	mya:lemma	တောကြောင်
02126317-n	mya:lemma	ကျားကျုတ်
02127052-n	mya:lemma	ကြောင်မြီးတို
02127808-n	mya:lemma	ကြောင်
02128757-n	mya:lemma	နှင်းကျားသစ်
02129165-n	mya:lemma	ခြင်္သေ့
02129289-v	mya:lemma	တွေ့
02129289-v	mya:lemma	မြင်
02129604-n	mya:lemma	ကျား
02130524-v	mya:lemma	ကြည့်
02132136-n	mya:lemma	ဝက်ဝံညို
02133161-n	mya:lemma	အမေရိကန် ဝက်ဝံနက်
02133435-v	mya:lemma	ပေါက်
02134418-n	mya:lemma	နှုတ်သီးရှည်ဝက်ဝံ
02140033-v	mya:lemma	ပြ
02144835-v	mya:lemma	မြှုပ်
02152881-n	mya:lemma	စာ
02158340-v	mya:lemma	ငပုပ်ဖမ်း
02158340-v	mya:lemma	ကြတ်
02159955-n	mya:lemma	ပိုး
02159955-n	mya:lemma	အင်းဆက်
02161432-a	mya:lemma	အရေးကြီး
02183787-v	mya:lemma	ထစ်ကြူး
02183787-v	mya:lemma	ထစ်ကြိုး
02183857-n	mya:lemma	သန်း
02199590-v	mya:lemma	ပေး
02202307-a	mya:lemma	တတိယ
02202712-a	mya:lemma	ပဉ္စမ
02202854-a	mya:lemma	ဆဌမ
02207206-v	mya:lemma	ဝယ်
02219486-n	mya:lemma	ပုရွက်ဆိတ်
02236842-a	mya:lemma	မွတ်
02236842-a	mya:lemma	ချော
02236842-a	mya:lemma	ချောမွတ်
02236842-a	mya:lemma	ချောမွေ့
02240129-a	mya:lemma	ပပ်
02241107-v	mya:lemma	ညှစ်
02241107-v	mya:lemma	မိုက်ကြေးခွဲ
02241621-v	mya:lemma	မိုက်ကြေးခွဲ
02244956-v	mya:lemma	ကုန်သွယ်
02260362-v	mya:lemma	ကုန်သွယ်
02264397-v	mya:lemma	ဘွဲ့ရ
02265979-v	mya:lemma	ငွေစု
02265979-v	mya:lemma	စု
02265979-v	mya:lemma	စုဆောင်း
02271137-v	mya:lemma	အရင်းမြှုပ်
02271137-v	mya:lemma	ရင်း
02302454-v	mya:lemma	ဦး
02304982-v	mya:lemma	စု
02304982-v	mya:lemma	ပုံ
02304982-v	mya:lemma	စုပုံ
02342132-v	mya:lemma	ဖြည့်စွက်
02342132-v	mya:lemma	ဖြည့်
02367363-v	mya:lemma	ပြု
02375131-v	mya:lemma	ပြု
02375468-v	mya:lemma	ပြု
02376429-v	mya:lemma	ပြု
02384686-v	mya:lemma	ဖိတ်
02384686-v	mya:lemma	ဖိတ်ကြား
02384686-v	mya:lemma	ဖိတ်ခေါ်
02384686-v	mya:lemma	ပင့်ဖိတ်
02386612-a	mya:lemma	တို
02389220-a	mya:lemma	တော
02390101-n	mya:lemma	လား
02392434-n	mya:lemma	အိန္ဒိယကြံ့
02392824-n	mya:lemma	ကြံ့ဖြူ
